country_code,country,year,gdp_growth,gdp_per_capita_usd,inflation,unemployment,current_account_gdp,reserves_months_imports,official_exchange_rate,trade_gdp,fdi_inflows_gdp,external_debt_gni
ARG,Argentina,2015,2.73115982828944,13679.6264980954,,7.577,-2.96292666513534,3.36214425707702,9.23318552472429,22.4862260889792,1.97713461784426,30.3597130322943
ARG,Argentina,2016,-2.08032784377811,12699.9623137756,,8.088,-2.70922168361454,5.09719624487539,14.7581750873396,26.0938878488799,0.584748941173009,33.3125611167404
ARG,Argentina,2017,2.81850297775918,14532.5009308511,,8.347,-4.83995921807391,6.05038766582561,16.5627069251411,25.2896011376779,1.78936504083806,36.0210140421607
ARG,Argentina,2018,-2.61739646282038,11752.7998922979,34.2772237131003,9.22,-5.16055257152295,7.11111211150086,28.0949916666667,30.7625359549926,2.23253157689253,54.8960712180333
ARG,Argentina,2019,-2.00086100285785,9955.97478680428,53.5483043492339,9.843,-0.779998447561848,5.94220121846315,48.1478916666667,32.6306150458499,1.48500687570697,65.2499452681964
ARG,Argentina,2020,-9.9004848136464,8535.59938004389,42.0150947376509,11.461,0.696935361136031,7.09405401009515,70.5391666666667,30.203698807416,1.26616924308721,68.0983401439473
ARG,Argentina,2021,10.4418119882506,10738.0179223384,48.4093786255199,8.736,1.36154422203441,5.6049034262494,94.9907416666667,33.078689567466,1.36838083162438,51.6176877458835
ARG,Argentina,2022,6.02074537534855,13962.1894087223,72.430757531824,6.805,-0.62525456692328,4.75930856415363,130.61655,31.5801792606256,2.3984601182853,40.0821942544545
ARG,Argentina,2023,-1.85578803046339,14261.8465667948,133.488935594175,6.139,-3.1951463789585,2.45755251575411,296.258041666667,26.6769512482215,3.81190879856952,39.9528949452964
ARG,Argentina,2024,-1.34293072157739,13969.7836603737,219.883929014578,7.15,0.893118418089375,3.55326074207238,914.694883333333,27.929760849367,1.82409522925391,39.0583452380588
ARG,Argentina,2025,4.36733330217022,14898.0885943842,,7.145,-1.10988825977293,4.05367056004785,1240.85125,30.364633685192,0.458822968080686,
